artist,id,genre
Mithoon,09UmIX92EUH9hAK4bxvHx6,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Sanam,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']"
"Sippy Gill, Desi Roots",3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']"
Lauv,5JZ7CnR6gTvEMKX4g70Amv,['pop']
The PropheC,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']"
The Vamps,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
PUBLIC,4vxaQs6vK54nK89J1VtLex,['indie rockism']
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']"
Harrdy Sandhu,4ITkqBlf5eoVCOFwsJCnqo,"['desi pop', 'punjabi pop']"
GKhan,3fxBst8oqDfPvHHrd9wEse,"['desi pop', 'punjabi pop']"
Acoustic Brar,6TGg9uXF6VXPw8k2DnMQik,[]
AP Dhillon,6LEG9Ld1aLImEFEVHdWNSB,"['punjabi hip hop', 'punjabi pop']"
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']"
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'rock']"
DJ Snake,540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
Sia,5WUlDfRSoLAfcVSX1WnrxN,"['australian dance', 'australian pop', 'dance pop', 'pop']"
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']"
Calvin Harris,7CajNmpbOovFoOoasH2HaY,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Pink Sweat$,1W7FNibLa0O0b572tB2w7t,"['bedroom soul', 'chill r&b', 'pop']"
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
Jaymes Young,6QrQ7OrISRYIfS5mtacaw2,"['modern rock', 'pop']"
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']"
Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop']
347aidan,0bBz5bRBkExaej2HxtVfCw,['sad rap']
DHARIA,1psakk7GVUl85AnTEvwtk2,[]
Witt Lowry,5ghnxpW47ojtLHHyTLdxdY,['pop rap']
Russ,1z7b1Pr1rSlvWRzsW3HOrS,"['hawaiian hip hop', 'rap']"
Gurnazar,682M6cmwGHOyAB1ZmPv38W,"['desi pop', 'punjabi pop']"
Prabh Gill,4F5ZNBJDep3GTrMip2tpI4,"['desi hip hop', 'desi pop', 'punjabi pop']"
B Praak,56SjZARoEvag3RoKWIb16j,"['desi pop', 'punjabi pop']"
Akhil,6zZrFenNe3YPttxZsnQQs1,"['desi hip hop', 'desi pop', 'punjabi pop']"
Mehmood J,4dDplWRph6eniqpE1VIwYF,[]
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['dance pop', 'pop', 'viral pop']"
Johnny Orlando,6aX6KqXgEcARRHwvWxHcFW,"['canadian pop', 'pop']"
Olivia O'Brien,1QRj3hoop9Mv5VvHQkwPEp,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'rap']"
Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,"['dance pop', 'pop', 'post-teen pop']"
Abhijeet,2ZRrPOjBIWoKK5rHedLijj,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']"
Alka Yagnik,3gBKY0y3dFFVRqicLnVZYz,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']"
Lata Mangeshkar,61JrslREXq98hurYL2hYoc,"['classic bollywood', 'desi pop', 'filmi', 'lata']"
Yasser Desai,6RF8hEdlUKoLPQOHmBbHiM,"['desi pop', 'filmi', 'modern bollywood']"
Kailash Kher,4oVMLzAqW6qhRpZWt8fNw4,"['desi hip hop', 'desi pop', 'filmi', 'indian folk', 'modern bollywood', 'sufi']"
Atif Aslam,2oSONSC9zQ4UonDKnLqksx,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
Pritam,1wRPtKGflJrBx9BmLsSwlU,"['filmi', 'indian instrumental', 'modern bollywood']"
Adele,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'pop soul', 'uk pop']"
Babbal Rai,5LFXPuKD97Sp9qdkxYBfDn,"['desi pop', 'punjabi pop']"
Ninja,3jsyANBBy6gOZUSQhiGclx,['comic']
Prem Dhillon,6IP4VnqS1pOiQcPVP4zx0H,"['desi pop', 'punjabi pop']"
Aatish,6w2tW2P6MoEdHEFAGUqrMa,[]
Harnoor,4eB5clMaoi0cCRnCwLkkiS,"['desi pop', 'punjabi pop']"
Sucha Yaar,3796Al8KerYiCPaOK1vHZJ,"['desi pop', 'punjabi pop']"
Harman Hundal,2daDqAvmOL9Uxwv0cGvLXv,"['desi pop', 'punjabi pop']"
Tegi Pannu,78sIlhMniFgXlOrNWnPtIl,"['desi pop', 'punjabi pop']"
Shipra Goyal,7gOZcXPfLtLbFgUyHGV7cZ,[]
Amrit Maan,7GgAwYJnBBFT1WogNWf0oj,"['desi hip hop', 'desi pop', 'punjabi pop']"
Tanishk Bagchi,4f7KfxeHq9BiylGmyXepGt,"['desi pop', 'modern bollywood']"
Maninder Buttar,2sN4fSzAm2rAL0HIurPCEM,"['desi hip hop', 'desi pop', 'punjabi pop']"
Asees Kaur,1sVmXkzX2ukc6QvasrDBES,"['desi pop', 'filmi', 'modern bollywood']"
Mission ISRO with Harsha Bhogle,7dcWg5dXOShjR4ACNd6kVc,[]
Garry Sandhu,7M3xY5iHSzEtoL3FpqOD75,"['desi pop', 'punjabi pop']"
Reggie Mills,3dQMGfODIABnUy8kNFXBim,['slowed and reverb']
Romaana,424s65ZBz4Alruua67iFmO,[]
The Landers,7KEQQy9VJpx2xaojUu2VTp,"['desi hip hop', 'desi pop', 'punjabi pop']"
Stebin Ben,1UAzmnFgjizIDvtHvnCdEq,"['desi pop', 'modern bollywood']"
Nikk,2kWeFaiHBskk8oqky3KHcR,"['alternative country', 'new americana', 'outlaw country']"
Pav Dharia,0j2LQCxHNcJdkuJRa8KEp5,"['desi pop', 'punjabi pop']"
Nimrat Khaira,0ea0y5ZxnN5TbEDzNtx5Fk,"['desi pop', 'punjabi pop']"
Guri,5DHi2MeoRgAwPE0A0qwRMl,['punjabi hip hop']
Happy Raikoti,6q71Xu33Q9DBhLFSUCLMUM,"['desi pop', 'punjabi pop']"
Bilal Saeed,7hHDO4bJGlEaEHlY2lj1eZ,"['desi hip hop', 'desi pop', 'pakistani pop', 'punjabi pop']"
Preetinder,1r8t9QJtZZL9OsSCG2qij9,[]
Akhil Sachdeva,3TOhzLRYnkkul71yRBxIoM,"['desi pop', 'modern bollywood']"
Ammy Virk,2RlWC7XKizSOsZ8F3uGi59,"['desi pop', 'punjabi pop']"
Gajendra Verma,1yzgJmZf5CxtFfGfRFm4Si,"['desi pop', 'filmi', 'modern bollywood']"
Vishal Mishra,5wJ1H6ud777odtZl5gG507,"['desi pop', 'modern bollywood']"
Karan Randhawa,3mnR9SJ3hfV6EcrGKH44H9,"['desi pop', 'punjabi pop']"
Rahul Jain,5tJx4B5oBr1LJkkHI8GFYX,"['desi pop', 'modern bollywood']"
Inder Chahal,2ZzyxohC32i649slMn9Kgk,"['desi pop', 'punjabi pop']"
Kay Vee Singh,52sAo4U0x2dfde5UYFDU2n,"['desi pop', 'punjabi pop']"
Tulsi Kumar,0T1CMVkqffHlqEk4BcAph1,"['desi pop', 'filmi', 'modern bollywood']"
Jassie Gill,3xZnxcyeC0vVaJvEA9VqrA,"['desi pop', 'punjabi pop']"
Akull,1dqPqXbxxYtCtLbKeAN2Ss,"['desi hip hop', 'desi pop', 'punjabi pop']"
MEDITATION SELF,3FVbcT2DnCA47g451Y7HKz,[]
Karan Sehmbi,0wmFEqpoc2FgAv8IPtCLBW,"['desi pop', 'punjabi pop']"
Sukhbir,7bcSOvqOKoyZqU41p5YuoJ,"['bhangra', 'desi hip hop', 'desi pop']"
Badshah,0y59o4v8uw5crbN9M3JiL1,"['desi hip hop', 'desi pop', 'desi trap', 'haryanvi pop', 'modern bollywood']"
Guru Randhawa,5rQoBDKFnd1n6BkdbgVaRL,"['desi hip hop', 'desi pop', 'modern bollywood']"
Sachet Tandon,6WOdPJmexxFINcKMkP2jMG,"['desi pop', 'modern bollywood']"
Dev Negi,04FsFHujpuqonrPXZrEJlK,"['desi pop', 'filmi', 'modern bollywood']"
Arijit Singh,4YRxDV8wJFPHPTeXepOstw,"['desi pop', 'filmi', 'modern bollywood']"
Anuradha Paudwal,4hkB2bR5ek6lJChj6aunCn,"['bhajan', 'classic bollywood', 'desi pop', 'filmi', 'ghazal', 'hare krishna', 'modern bollywood']"
Faris Shafi,1LAdnp9wIdKClX7Cool0GD,"['desi hip hop', 'pakistani hip hop', 'pakistani pop']"
Mehtab Virk,6npKsb0CeJMFX3FwjKybfD,[]
Tarsem Jassar,67XQGZSc63AMXMINY8H7Fx,"['desi pop', 'punjabi pop']"
Navjeet,6ti9mMVGU3e9MtpFh69Knr,"['desi pop', 'punjabi pop']"
PLVTINUM,4V2pR2iSd1g0RZCglrP3jn,['alt z']
Kurt Hugo Schneider,2BHswvFd8tMBizVWGcAMLm,"['post-teen pop', 'viral pop']"
shy martin,7eCmccnRwPmRnWPw61x6jM,"['alt z', 'electropop', 'pop', 'post-teen pop', 'swedish electropop']"
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,"['alt z', 'electropop', 'pop']"
Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop']
Amir Jamal,6fjlehmqzeqeDmRwnbvapd,[]
Rahat Fateh Ali Khan,3OLGltG8UPIea8sA4w0yg0,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']"
Roop Kumar Rathod,03SZmfKAgYRQKUwy0EoJUa,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
Ali Pervez Mehdi,3HLmrqEDEHkQ7VFXwdKdKa,['pakistani indie']
Kamal Khan,01DlVvmRpQFutrYzh0HmF8,"['desi pop', 'punjabi pop']"
Shafqat Amanat Ali,5SuRAj1A9FEHj5NxS86YAm,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']"
Shankar Mahadevan,1SJOL9HJ08YOn92lFcYf8a,"['filmi', 'modern bollywood']"
Pranav Chandran,7IamkJSsxpZ8fi6FfSsWt2,[]
A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,"['filmi', 'modern bollywood']"
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,['electro house']
Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']"
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']"
Raaban,4cSYNpczcvTUpnPMFDLsIc,[]
GAYLE,2VSHKHBTiXWplO8lxcnUC9,['modern alternative pop']
Tones And I,2NjfBq1NflQcKSeiDooVjY,"['australian pop', 'pop']"
One Direction,4AK6F7OLvEQ5QYCBNiQWHq,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"['dance pop', 'pop', 'post-teen pop']"
Ava Max,4npEfmQ6YuiwW1GpUmaq3F,"['dance pop', 'pop']"
ILLENIUM,45eNHdiiabvmbp4erw26rg,"['edm', 'melodic dubstep', 'pop', 'pop dance', 'tropical house']"
CLMD,7LiVklVR1325BIOqD9kykr,"['norwegian pop', 'pop dance']"
Avicii,1vCWHaC5f2uS3yhpwWbIA6,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Shaarib Toshi,0FJz7XR37hH69traaHLijA,"['desi pop', 'filmi', 'modern bollywood']"
Starla Edney,6zFexQuZduSVGrLq28KhvY,['guam indie']
Serena,6NPbeRsuxTEwa7lMDnZLLz,['guitarra mexicana']
Shirley Setia,26ks59eSno7UlPCdljHQoI,"['desi pop', 'modern bollywood']"
King,6QtgPSJPSzcnn7dPZ4VINp,['chicago rap']
Singga Ft. Ellde Fazilka,6SZ6jRzG1OPBCjkzGtKW0G,"['desi pop', 'punjabi pop']"
Nusrat Fateh Ali Khan,5HcunTidTUrOaf8V0iJcvl,"['indian fusion', 'pakistani folk', 'qawwali', 'sufi', 'world']"
Sarmad Qadeer,6Eh92TEgarADIOborTEsDJ,"['desi hip hop', 'desi pop', 'pakistani pop']"
Amrinder Gill,1x02ug1CLkx7mrQP9FRswh,"['bhangra', 'desi pop', 'punjabi pop']"
Shae Gill,3bWIy9AUrQdiNeS62Bp3OP,[]
Arjun,5tvfyAT4aOIOkumo6vw1yL,"['desi hip hop', 'desi pop']"
Rochak Kohli,3dN9MQpjIyNxyeRfz4EDZe,"['desi pop', 'modern bollywood']"
Ayushmann Khurrana,7qHsapL39aTQsPhixtzVvy,"['desi pop', 'filmi', 'modern bollywood']"
Amit Trivedi,7HCqGPJcQTyGJ2yqntbuyr,"['desi pop', 'filmi', 'modern bollywood']"
Shekhar Ravjiani,4xd7mLI7urqrxELaXhAvzw,"['desi pop', 'filmi', 'modern bollywood']"
Tony Kakkar,0NZtn1Kyq08alpHCTRf3dv,"['desi pop', 'modern bollywood']"
Gitaz Bindrakhia,7ezmUPZODtZdTK2Iu5TOVM,"['bhangra', 'desi hip hop', 'punjabi pop']"
Kay v Singh,2KnNv9FWraSIxs0Sce2tdl,"['desi hip hop', 'desi pop', 'punjabi pop']"
Desi Group,6x93MmBokl9aGi8KXjdjSY,[]
TroyBoi,0tvpihdAsKiNnP6sWS3jUI,"['bass trap', 'edm', 'electro house', 'electronic trap']"
The Fray,0zOcE3mg9nS6l3yxt1Y0bK,"['neo mellow', 'piano rock', 'pop', 'pop rock']"
James Arthur,4IWBUUAFIplrNtaOHcJPRM,"['pop', 'talent show', 'uk pop']"
Udit Narayan,70B80Lwx2sxti0M1Ng9e8K,"['chutney', 'classic bollywood', 'desi pop', 'filmi']"
Idina Menzel,73Np75Wv2tju61Eo9Zw4IR,"['hollywood', 'show tunes']"
Glee Cast,0SCbttzoZTnLFebDYmAWCm,"['glee club', 'hollywood', 'post-teen pop']"
Zac Efron,6U1dBXJhC8gXFjamvFTmHg,"['hollywood', 'pop', 'post-teen pop', 'show tunes']"
Kishore Kumar,0GF4shudTAFv8ak9eWdd4Y,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']"
Asha Bhosle,5as8A4G47Ohu9NSWs3Je8U,"['chutney', 'classic bollywood', 'desi pop', 'filmi']"
Anushka Shahaney,6LCIgtcHUYILCEuCN6TSf6,"['desi pop', 'modern bollywood']"
Karan Nawani,7rhiZksPc6NrFYY2x0iajU,[]
Céline Dion,4S9EykWXhStSc15wEx8QFK,['canadian pop']
Post Malone,246dkjvS1zLTtiykXe5h60,"['dfw rap', 'melodic rap', 'rap']"
Gminxr,4vvW590Gq8dNWsP5BM9FkS,[]
Gurinder Gill,5DHi2MeoRgAwPE0A0qwRMl,['punjabi hip hop']
CKay,048LktY5zMnakWq7PTtFrz,['afro r&b']
Loving Caliber,6psCCMHymYfQy6VvYRr6cs,['scandipop']
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,"['latin pop', 'puerto rican pop']"
Vishal Dadlani,6CXEwIaXYfVJ84biCxqc9k,"['desi pop', 'filmi', 'modern bollywood']"
Jaani,5gZhfbckaWo89OzDSk3gdT,['punjabi pop']
Harvi,5rpl4dM4cZVFeseE6XT0AZ,['punjabi pop']
Rajvir Jawanda,6TRcwPQiddMiQ6H22iwnoG,"['desi hip hop', 'desi pop', 'punjabi pop']"
Ravneet,6HkQAVfiEMIx0yWyWOnVfq,"['desi pop', 'punjabi pop']"
Raavi Gill,6Sm1K8bZDB62cHlJWrhzI5,[]
Gurnam Bhullar,45LSiycLy1JsWUMObvPvpX,"['desi pop', 'punjabi pop']"
Monty & Waris,2qTa0uEodCgzZzSYxhADZH,[]
Manpreet Singh,0vqqFNT40Yi47BEE0XBkfg,[]
Queen,1dfeR4HaWDbWqFHLkxsg1d,"['classic rock', 'glam rock', 'rock']"
Sara Gurpal,3Agskd2jrYif8W7sDPPf0v,[]
Jass Kanwar,2N5XRZ4Y7J5kkI2QKTIGfk,[]
Guntaj,44wLsyV4oq5xoNZZA8STof,[]
Mandy Moore,2LJxr7Pt3JnP60eLxwbDOu,"['dance pop', 'hollywood', 'post-teen pop']"
Runbir,5noqLj1lBL60sqwh4ydVch,[]
Dhami Dub,25vSOMtqWGPjXYxvJCBOSf,[]
Deep Money,6t6D6drTfOF08Jp4w9wY2J,[]
Mukesh,4etv0ut4ws0GbXBtolzf5e,"['classic bollywood', 'desi pop', 'filmi', 'ghazal']"
Kumar Sanu,4K6blSRoklNdpw4mzLxwfn,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']"
Bharatt,2BNj9F2NMmWTRpO3S3C0dK,[]
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,"['pop', 'uk pop']"
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,['pop']
Cody Francis,1RKbW3DVPPhWHNfParfJ32,[]
Sasha Alex Sloan,4xnihxcoXWK3UqryOSnbw5,"['alt z', 'electropop', 'pop']"
Boyce Avenue,7CQwac16i1W5ej8YpuL3dv,"['acoustic cover', 'neo mellow', 'viral pop']"
Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,"['electropop', 'pop']"
Kygo,23fqKkggKUBHNkbKtXEls4,"['edm', 'pop', 'pop dance', 'tropical house']"
Fireboy DML,75VKfyoBlkmrJFDqo1o2VY,['afro dancehall']
Neha Kakkar,5f4QpKfy7ptCHwTqspnSJI,"['desi pop', 'filmi', 'modern bollywood']"
SULTAN UL QADRIA QAWWAL,5H9cLoe8sRnaCZ4yb8B3tO,[]
Master Saleem,0BEr6nvOOHQMy53md08n9Y,"['filmi', 'sufi']"
Owais Raza Qadri,1ymQAIQTQDQyskr4FEG0wO,['naat']
Nardev Beniwal,3ulQxkRg02sq9QhoeOX7Zg,[]
Iqbal Bano,7JxXeUTiGg0vr8SS2iS0F0,"['classic bollywood', 'classic pakistani pop', 'ghazal', 'pakistani pop', 'sufi']"
Aditya A,4wwYGgSpeBtvk5WX6HBqzw,"['desi pop', 'hindi indie']"
Falak Shabbir,0kmtdziYTHrKtoHlGElunM,[]
Balraj,3Gay1KEB0WNEosR9hz4N0M,[]
Vikonthebeat,1PjJ4dEbt9ZfhZmsZoEKph,[]
Britney Spears,26dSoYclwsYLMAKD3tpOr4,"['dance pop', 'pop']"
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"['art pop', 'dance pop', 'pop']"
Ramana Lb,5ew8GeAFGEQIVO1BOEzNm5,[]
Anuv Jain,4gdMJYnopf2nEUcanAwstx,"['hindi indie', 'indian indie', 'indian singer-songwriter']"
Jyotica Tangri,5wQDQFm7Ku8WWGi5xqJ9lp,"['desi pop', 'modern bollywood']"
Jasleen Royal,74OaRjmyh0XyRZsQQQ5l7c,"['desi pop', 'filmi', 'indian singer-songwriter', 'modern bollywood']"
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']"
Listening Time,7zXywunCUMDLIOlh0F6enD,[]
Speak Better English with Harry,2oe6twSNfQ3EWRa3CAal4U,[]
Venom Kul,5fwaejlOHVBAw1KhIPPaQe,"['black metal', 'black thrash', 'british black metal', 'death metal', 'hard rock', 'metal', 'nwobhm', 'old school thrash', 'speed metal', 'thrash metal']"
Sunny,2lZkXWxkZsZzBocxMjN1or,"['alternative rock', 'emo', 'emo punk', 'midwest emo', 'post-hardcore']"
Shankar-Ehsaan-Loy,0L5GV6LN8SWWUWIdBbTLTZ,"['desi pop', 'filmi', 'modern bollywood']"
Mika Singh,5T2I75UlGBcWd5nVyfmL13,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']"
Jass Manak,2P9JaCtpbQSuZOgvtPrUJ8,"['desi hip hop', 'desi pop', 'punjabi pop']"
Karan Aujla,6DARBhWbfcS9E4yJzcliqQ,"['desi hip hop', 'desi pop', 'punjabi pop']"
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"['dance pop', 'pop', 'post-teen pop']"
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Ghetts,7zJL978NtANOysfGY21ty6,"['grime', 'uk alternative hip hop', 'uk hip hop']"
Tritonal,521qvhdobR0GzhvU6TFw76,"['edm', 'electro house', 'melodic dubstep', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']"
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
Sam Smith,2wY79sveU1sp5g7SokKOiI,"['dance pop', 'pop', 'uk pop']"
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']"
Wadali Brothers,293XZCVDsIPWXKfieaHLuX,"['qawwali', 'sufi']"
Akhtar Rising Star,4GkzQfmnDhg61MpV8Mckgc,[]
Gurujeet Singh,5ZmBk48Jyecq1pRDbHEMaS,[]
Rakesh Maini,7pfPZ5tXoa5wB8F544YZIR,[]
Kushagra,7Dfa2OiawjwGg3bbjNnarP,['desi pop']
Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb,"['desi pop', 'filmi', 'modern bollywood']"
Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']"
KK,4fEkbug6kZzzJ8eYX6Kbbp,"['desi pop', 'filmi', 'modern bollywood']"
Jack & Jack,1INuLZXjjVbcJRyWvD1iSq,"['dance pop', 'pop', 'post-teen pop', 'social media pop', 'teen pop']"
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']"
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']"
Masego,3ycxRkcZ67ALN3GQJ57Vig,[]
Mahalia,16rCzZOMQX7P8Kmn5YKexI,"['alternative r&b', 'indie anthem-folk', 'indie r&b', 'neo soul', 'pop', 'r&b', 'uk contemporary r&b']"
RINI,2joIhhX3Feq47H4QXVDOr3,"['australian r&b', 'bedroom soul', 'chill r&b', 'pop']"
Jassa Dhillon,2vJvM1hPBYqDoGBje0kRMd,"['desi pop', 'punjabi pop']"
Positive Thinking Mind,79ck5e8MfF45wUIBzKwoag,[]
Arjan Dhillon,64DvMieEUCdrYKmEIhDt8G,['punjabi pop']
Olly Murs,3whuHq0yGx60atvA2RCVRW,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'talent show', 'uk pop']"
Bret James,04NseFrg9L1BHlCQa8tiBl,[]
Kyle Dion,5qfkUSH3ip5dD2eEPhjkT3,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'pop', 'r&b']"
Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,"['canadian contemporary r&b', 'pop', 'r&b']"
SiR,4GQwgdcDQwqtcHICjUNndp,"['choral', 'classical performance', 'orchestral performance']"
Lea Salonga,1GlMjIezcLwV3OFlX0uXOv,"['hollywood', 'movie tunes', 'show tunes', 'tagalog worship']"
Donna Murphy,5BuTOT6mPoNZ5EmaPheBI9,"['disney', 'hollywood', 'movie tunes']"
Timmies,1AUZYkS7eLmZUnBjQyJmwf,"['lo-fi chill', 'sad lo-fi']"
G.R.L.,3Yl4nkmEa8BSuGWbwhdLDq,"['dance pop', 'girl group', 'pop', 'post-teen pop']"
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']"
Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,"['dance pop', 'pop', 'pop dance', 'talent show', 'tropical house', 'uk pop']"
Clone Banda,5pc37fecXLdChXcNYBQSRW,[]
CHANYEOL,6jV25rzTKQ2zMgrqHha1V5,['k-pop']
Shane Filan,3Q2ya2vGeOhQ9CaF9wWNP6,['irish pop']
Madilyn Bailey,0NxhAEPOSeCg6vypFr7yjU,['viral pop']
Agust D,5RmQ8k4l3HZ8JoPb4mNsML,['k-rap']
RM,2auC28zjQyVTsiZKNgPRGs,['k-rap']
Talos,5pdzKTGQAcRcxDOfN4mXSc,"['cork indie', 'electropop', 'indie folk', 'irish indie', 'irish pop', 'vapor soul']"
Vancouver Sleep Clinic,77BznF1Dr1k5KyEZ6Nn3jB,"['indie folk', 'vapor pop']"
Cape Francis,6tnCYugShRsCcfHNGIUSq3,['brooklyn indie']
Janet Suhh,5xhVZ42ABidt3DS9HJ5Uzm,['korean ost']
The Midnight,2NFrAuh8RQdQoS7iYFbckw,"['nightrun', 'popwave']"
Prateek Kuhad,0tC995Rfn9k2l7nqgCZsV7,"['folk-pop', 'hindi indie', 'indian singer-songwriter']"
Greg Laswell,2Mf99N2VcDEcVuocyBLhyC,"['acoustic pop', 'neo mellow', 'pop rock', 'stomp and holler']"
Andrew Belle,3UAk61T8PItbpgEi9u7ofY,"['acoustic pop', 'indie folk', 'neo mellow']"
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"['chicago rap', 'melodic rap']"
Westlife,5Z1CCuBsyhEHngq3U5IraY,"['boy band', 'europop']"
BTS,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group']"
Jenn Johnson,0cuW2lF0YWb9VUyHOnvnsO,"['ccm', 'deep ccm', 'world worship']"
Ribhavv,01nF5O4sTf8RDuec39ZPnp,['new delhi indie']
